2024-03-17 18:25:31, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:25:37, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:25:42, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:25:47, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:25:52, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:25:57, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:02, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:07, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:12, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:17, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:22, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:27, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:32, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:37, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:42, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:47, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:53, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:26:58, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:03, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:08, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:13, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:18, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:23, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:28, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:33, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:38, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:43, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:48, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:53, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:27:58, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:03, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:08, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:14, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:19, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:24, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:29, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:34, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:39, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:44, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:49, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:54, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:28:59, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:04, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:09, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:14, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:19, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:24, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:29, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:35, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:40, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:45, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:50, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:29:55, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:00, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:05, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:10, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:15, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:20, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:25, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:30, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:35, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:40, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:45, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:50, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:30:56, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:01, GPU Temperature: 48°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:06, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:11, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:16, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:21, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:26, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:31, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:36, GPU Temperature: 49°C, nvlddmkm.sys: Not Present
2024-03-17 18:31:41, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
